ImageId,PredictionString
ID_02878421e.jpg,-2.99808 0.02648 0.02422 -16.89589 6.21880 33.09002 0.54482 0.13561 1.19193 -3.13063 31.61847 24.56342 136.53629 0.84651 -2.99281 -0.00027 0.02234 -12.47727 4.40638 20.31827 0.38418 -2.99434 -0.02282 0.02453 -13.99746 8.28051 42.99672 0.41029 -2.44153 -0.81783 0.20333 51.91660 19.59837 106.88417 0.47738 -2.98118 0.00028 0.02683 -12.87762 11.38203 65.01662 0.42643
ID_64a2675ac.jpg,0.21004 0.34636 -3.07847 -6.34601 8.80538 51.00304 0.93869 -2.98619 -0.09510 0.02606 -18.89514 12.15203 70.90529 0.94056 -2.98043 0.13393 0.03890 -13.94937 4.91965 24.86102 0.92241 0.17811 -0.56516 -3.12168 11.19091 14.50269 78.56227 0.33790 0.16083 0.00354 -3.08539 2.47805 10.75925 59.03516 0.99924 0.15770 -0.03661 -3.08816 9.23756 9.96880 50.50518 0.46473 0.12662 0.13194 -3.03933 -5.61896 7.91683 40.95594 0.86343 0.17105 0.10449 -3.08749 0.62270 9.84169 50.93066 0.55884 0.14067 0.04113 -3.09009 -1.05954 5.21753 24.09387 0.99652 -3.03478 1.05859 -0.05957 19.22375 18.63300 99.39230 0.56935 0.11949 -0.30232 3.08014 -6.14340 10.69481 58.69090 0.93807 0.15474 0.11108 -3.07888 -3.21315 15.45745 88.91261 0.99996 -2.99371 0.08646 0.01033 -12.15995 9.59458 53.99590 0.33868 0.15190 -0.10947 -3.11227 -0.80899 12.04348 67.71635 0.99941 0.15397 0.03518 -3.09776 -3.21501 3.07081 11.63348 0.99904 -2.99440 -0.05857 0.02698 -7.44453 3.14461 12.75256 0.85419 -3.00853 0.11142 0.01690 -28.06467 11.49223 66.80888 0.55599 0.13953 -0.74036 -3.12407 -3.70041 26.24990 151.10196 0.76203 0.16189 -0.00501 -3.09134 -6.00247 7.50125 38.18459 0.89040 0.13631 0.19136 -3.08699 2.34046 4.45342 17.49000 0.63314 -3.10107 -1.22911 0.23628 -7.90687 15.80567 90.19794 0.75906 -2.95262 0.12074 0.16044 -8.12336 21.23118 123.17892 0.26111 -3.01165 -0.03308 0.01082 -17.34793 12.81779 75.04445 0.31723 -2.97669 -1.52423 0.06873 -37.81042 15.18871 92.14445 0.94732 -3.00744 -0.16781 0.03474 -13.73953 12.09814 71.52142 0.96678 -3.11091 -0.72037 0.03490 -49.93570 12.96124 80.31962 0.90092 -3.00382 -0.10712 0.03006 -12.35305 6.86474 36.49915 0.39242 0.13245 0.04052 -3.07219 -1.89078 21.02092 122.58549 0.62856 0.11284 0.91943 3.13972 -10.34688 18.40808 107.01029 0.47842 0.15904 0.09805 -3.10052 -2.55892 14.90075 84.77728 0.54404 -2.98221 -0.81619 0.07366 -7.79070 30.74885 179.85222 0.94787 0.14322 0.02621 -3.06879 -4.10398 11.74261 66.75825 0.99916 -2.95917 0.99687 0.00434 -40.01229 10.14926 63.63250 0.99082 -2.97114 -0.65325 0.11535 -9.47972 17.58665 100.42551 0.99786 -3.00782 0.03901 0.00798 -30.21194 13.94925 83.34159 0.95148 -2.90594 -1.24962 -0.05865 -43.85304 13.04250 85.05408 0.89409 0.16583 0.04159 -3.08584 -4.55896 4.89974 22.94182 0.57959 -2.77482 1.18357 0.26306 -4.84740 9.39149 48.50421 0.78833
ID_4dd4b1fa1.jpg,0.16405 0.11041 -3.07781 -5.66694 12.15935 70.42886 0.99985 0.14609 0.05175 -3.10776 -10.98350 10.44402 62.16949 0.99318 0.17359 -0.01343 -3.10325 -8.37194 12.50368 72.80293 0.99364 0.12854 0.07297 -3.07606 -7.22935 4.79700 24.29438 0.89270 0.13729 0.01951 -3.09291 -13.31556 17.58585 111.64024 0.82246 0.12724 0.14052 -3.07369 -14.56091 16.91063 102.14357 0.88738 0.11795 0.09987 -3.06403 -28.17591 26.46151 175.26929 0.86437 0.15874 1.12568 -3.10476 5.71505 4.79281 18.27322 0.37431 0.12417 -0.95334 -3.08558 -27.79769 22.14748 149.80957 0.76808 0.14266 -0.05561 -3.09147 -22.73527 21.90899 147.03400 0.95855 -3.00974 0.08929 0.01977 -20.04902 7.74627 45.35833 0.69204
ID_cb7391b5d.jpg,-2.98582 0.31570 0.02728 14.73794 5.76868 22.75528 0.55497 -2.93734 1.11821 0.12104 -5.73961 3.70396 15.02655 0.86549 -3.07120 1.27370 -0.08788 10.61497 8.85777 45.75169 0.51492 0.13087 0.27564 -3.13191 0.00605 9.91852 52.23062 0.29847 -2.97847 0.41533 0.02537 31.64515 10.72372 49.01471 0.26169 0.18954 -0.88520 -3.10806 -15.19344 6.33060 33.40979 0.39498 -3.00930 1.23640 -0.01535 -4.62901 5.82642 33.16628 0.47634 0.17318 0.67502 -3.13316 -3.58527 8.55312 46.26405 0.29956 -2.99503 -0.46966 0.03149 -6.74227 5.41126 25.68830 0.98222 -2.99832 0.07026 0.02153 -11.26515 5.85377 30.10556 0.74237 0.03457 -0.45802 -2.91139 19.01979 11.85820 58.83467 0.55021 -2.85078 1.10660 0.01115 -31.09133 9.90437 59.92892 0.26961 0.15993 1.03154 -3.10578 12.40270 7.05783 34.06902 0.42414 0.09921 -0.35435 -3.06390 -14.67656 6.52224 35.29113 0.14349
ID_7484ee12a.jpg,0.13077 -0.04760 -3.09012 1.75212 9.55142 52.34239 0.98838 0.15127 -0.06501 -3.09900 -3.96971 14.41986 80.71018 0.96849 -2.99868 -0.45678 0.05123 15.12370 9.71247 51.05872 0.43501 -2.94478 -0.05142 0.05086 13.19293 11.38611 61.08711 0.57225 -3.00864 -0.18344 0.10967 12.67432 14.22298 77.85085 0.51618 0.13648 0.07686 -3.07896 8.96258 27.13544 168.57498 0.97175 0.16300 -0.17223 -3.10420 -1.69337 9.93149 52.38081 0.99705
ID_c01482d53.jpg,0.14824 -0.02276 -3.10458 4.26862 7.18909 32.28058 0.99999 0.17257 -0.00554 -3.10470 -0.42851 13.70346 72.29137 0.98381 -3.00995 0.04015 0.02604 -30.68401 14.93839 88.46574 0.94644 -3.00849 -0.03160 0.03728 -34.14585 24.40281 148.27818 0.73613 -2.98523 0.08773 0.02837 -14.32929 9.24836 50.71544 0.34851 0.15629 -0.27383 -3.10461 8.51180 10.95105 55.90155 0.99995
ID_7602c2067.jpg,-2.96855 -0.11275 0.00867 19.04098 5.85757 24.95711 0.38126 -2.97544 -0.28569 0.04540 21.12213 10.14234 52.46980 0.21590 0.11799 0.05579 -3.08443 2.13319 8.00754 41.64529 0.99975 -2.99247 -0.32125 0.03734 10.06558 12.70260 69.53281 0.61722 0.13291 0.05004 -3.08450 6.56788 9.96028 55.36548 1.00000 0.14506 0.02386 -3.08735 0.44598 3.42016 12.43166 0.99943 -2.99952 -0.57861 0.04283 20.25366 7.11804 33.65882 0.65194
ID_7c4a3e0aa.jpg,-2.97969 -0.04991 0.02130 5.70368 8.57247 40.69205 0.40990 -2.97885 -0.08942 0.01714 5.27743 13.05149 69.02738 0.31522 -2.97676 -0.25840 0.03102 8.87459 5.47138 22.67496 0.50879 -2.97304 -0.00057 0.01842 8.58767 8.07575 36.59269 0.18019 -2.97642 -0.12154 0.03128 8.89339 6.23729 27.37559 0.29764 0.17869 -0.10291 -3.11421 1.82008 15.19804 82.50874 0.98903 -2.96213 -0.06395 0.02307 7.01027 7.90713 36.30836 0.23001 0.17109 -0.53071 -3.10718 -6.14564 9.98537 47.11811 0.39002 -2.99099 0.05841 0.00604 7.94239 10.36086 50.18232 0.96755 0.15654 -0.49570 -3.09991 -7.12201 7.60325 36.00513 0.72205 -2.97162 -0.12764 0.03998 9.01805 4.21892 15.23988 0.98468 0.16076 0.17730 -3.06697 1.22177 20.74729 116.27348 0.99077 -2.92955 0.55362 0.04115 -17.71065 5.60796 25.83058 0.34243
ID_33d6a5537.jpg,0.14284 -0.17348 -3.08658 -1.41578 4.16179 17.01031 0.37791 0.11102 -0.42206 -3.05908 -6.39375 4.84384 19.97529 0.40110 -2.95225 -0.03185 0.02160 8.78853 8.27631 43.03769 0.42974 0.13779 -0.05248 -3.07695 -5.53889 3.35777 11.96859 0.51748 -2.98565 0.19803 0.03893 7.35073 11.99099 64.54108 0.42215 0.16039 -0.30845 -3.07393 -5.91288 5.46155 24.53374 0.34136 -2.97348 -0.30584 0.02513 8.41827 6.69341 31.45720 0.90483 0.14205 0.06723 -3.08729 -0.55238 6.03563 28.67505 0.72868 -2.91758 0.51073 0.01106 9.38966 10.12128 53.56877 0.34151 -3.01962 -0.68587 -0.01457 19.05765 8.66838 44.84935 0.88676 -0.35507 1.37958 2.62520 7.95366 9.74309 51.68612 0.23584 -2.99805 0.09143 0.01303 9.39007 8.10941 40.44284 0.80194 0.17141 0.08457 -3.08764 -0.89018 12.16432 69.41029 0.99987 -2.89501 -0.97675 -0.05401 14.89965 8.03052 39.52609 0.88288
ID_5a669e211.jpg,0.44771 -1.52215 2.87630 12.09760 6.42985 27.44200 0.99993 0.16111 0.00414 -3.07834 2.69765 5.59781 24.68067 0.57280 0.15016 -0.01821 -3.07417 2.22581 6.76109 32.00181 0.30266 0.16499 -0.00795 -3.09162 5.58293 7.29898 35.48603 0.76098 1.08169 -1.53631 2.26126 12.42405 5.42416 21.95951 0.84304 0.13446 0.09671 -3.06839 2.82214 8.19867 42.80917 0.71483 0.11931 0.05690 -3.08437 -0.10066 5.78854 25.71474 0.96882 0.15470 0.02824 -3.08259 2.97190 4.08504 15.18917 0.91373 -2.94349 -0.89995 -0.01627 17.56229 8.16842 37.83440 0.94414 -2.97070 1.27988 0.03556 7.73082 7.70773 37.86086 0.98883 -2.95077 -0.64356 0.03079 14.22949 9.06005 44.67805 0.95278 -2.97836 0.19373 0.03602 4.59986 20.84965 126.53149 0.99306
